question,answer_choice
I'm interested in (select from options):,Tranquillity
I'm interested in (select from options):,A sense of increased personal value
I'm interested in (select from options):,Bolder communication
I'm interested in (select from options):,Being more alert
I'm interested in (select from options):,Being more interested
I'm interested in (select from options):,Being more relaxed
I'm interested in (select from options):,Better focus
I'm interested in (select from options):,Better self-esteem
I'm interested in (select from options):,Confidence
I'm interested in (select from options):,Greater willpower
I'm interested in (select from options):,I have no such expectations
Do you have a concern you are looking for a solution to?,Anxiety
Do you have a concern you are looking for a solution to?,Relationship ending
Do you have a concern you are looking for a solution to?,Sleeping disorders
Do you have a concern you are looking for a solution to?,"Restlessness, anxiety"
Do you have a concern you are looking for a solution to?,Grief
Do you have a concern you are looking for a solution to?,Difficulties in focusing
Do you have a concern you are looking for a solution to?,Lack of interest
Do you have a concern you are looking for a solution to?,Fear of speaking or communicating
Do you have a concern you are looking for a solution to?,Fear of speaking or communicating
Do you have a concern you are looking for a solution to?,None of these
